member_id,time,height,tas,model_id,experiment_id,tracking_id,variable_id,intake_esm_dataset_key,table_id,institution_id,units,region
r1i1p1f1,1850-01-16 12:00:00,2.0,274.0307,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-02-15 00:00:00,2.0,273.38684,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-03-16 12:00:00,2.0,273.25174,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-04-16 00:00:00,2.0,274.77658,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-05-16 12:00:00,2.0,276.8323,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-06-16 00:00:00,2.0,278.03564,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-07-16 12:00:00,2.0,278.7462,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-08-16 12:00:00,2.0,278.6392,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-09-16 00:00:00,2.0,277.17746,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-10-16 12:00:00,2.0,275.57654,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-11-16 00:00:00,2.0,274.4125,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1850-12-16 12:00:00,2.0,273.97958,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-01-16 12:00:00,2.0,274.2645,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-02-15 00:00:00,2.0,272.99518,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-03-16 12:00:00,2.0,273.58527,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-04-16 00:00:00,2.0,274.8897,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-05-16 12:00:00,2.0,276.523,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-06-16 00:00:00,2.0,278.32132,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-07-16 12:00:00,2.0,278.7853,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-08-16 12:00:00,2.0,278.21854,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-09-16 00:00:00,2.0,277.1915,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-10-16 12:00:00,2.0,275.4849,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-11-16 00:00:00,2.0,274.8321,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
r1i1p1f1,1851-12-16 12:00:00,2.0,274.13016,NorCPM1,historical,"hdl:21.14100/00a5dee6-6d7b-487b-836d-b7163d30ee89
hdl:21.14100/77a8c0a5-f0ea-4577-a3eb-39903715da7a
hdl:21.14100/26e4144c-91cc-4148-a447-e0ee35779e45",tas,CMIP.NCC.NorCPM1.historical.Amon.gn,Amon,NCC,K,global
